protein_id,virus_name,virus_abbrev,protein_name,capsid_role,genome_type,host_category,family,architecture_class,t_number,virion_morphology,pdb_ids,primary_pdb,uniprot_id,reference_pmid,notes,evidence_level,source,uniprot_name,protein_length,organism,taxonomy_id,gene_name,protein_description,reviewed
P03135,Adeno-associated virus 2,AAV2,VP1/VP2/VP3,MCP,ssDNA,Eukaryota_Animal,Parvoviridae,SJR,pseudo-T=3,icosahedral,1LP3;6IH9;3J1Q,1LP3,P03135,12644448,Well-characterized gene therapy vector capsid,high,seed_set_v1,CAPSD_AAV2S,735,Adeno-associated virus 2 (isolate Srivastava/1982),648242,VP1,Capsid protein VP1,reviewed
P03132,Canine parvovirus,CPV,VP2,MCP,ssDNA,Eukaryota_Animal,Parvoviridae,SJR,pseudo-T=3,icosahedral,2CAS;4DPV,2CAS,P03132,8709232,Prototype parvovirus structure,high,seed_set_v1,REP68_AAV2S,536,Adeno-associated virus 2 (isolate Srivastava/1982),648242,Rep68,Protein Rep68,reviewed
P07299,B19 virus,B19V,VP2,MCP,ssDNA,Eukaryota_Animal,Parvoviridae,SJR,pseudo-T=3,icosahedral,1S58,1S58,P07299,15163499,Human parvovirus,high,seed_set_v1,CAPSD_PAVHU,781,Human parvovirus B19 (isolate AU),648238,,Minor capsid protein VP1,reviewed
P03134,Minute virus of mice,MVM,VP2,MCP,ssDNA,Eukaryota_Animal,Parvoviridae,SJR,pseudo-T=3,icosahedral,1MVM,1MVM,P03134,8709232,Protoparvovirus model,high,seed_set_v1,NS1_MUMIP,672,Murine minute virus (strain MVM prototype),648235,NS1,Initiator protein NS1,reviewed
Q9YW43,Porcine circovirus 2,PCV2,Capsid protein,MCP,ssDNA,Eukaryota_Animal,Circoviridae,SJR,T=1,icosahedral,3R0R,3R0R,Q9YW43,21832183,Small circular DNA virus,high,seed_set_v1,Q9YW43_MSEPV,116,Melanoplus sanguinipes entomopoxvirus,83191,MSV049,Entry-fusion complex protein OPG086,unreviewed
Q91AV4,Beak and feather disease virus,BFDV,Capsid protein,MCP,ssDNA,Eukaryota_Animal,Circoviridae,SJR,T=1,icosahedral,5ZHG,5ZHG,Q91AV4,30111497,Avian circovirus,high,seed_set_v1,Q91AV4_9VIRU,175,Beet chlorosis virus,131082,,,unreviewed
P04332,Maize streak virus,MSV,Coat protein,MCP,ssDNA,Eukaryota_Plant,Geminiviridae,SJR,T=1,geminate,6F2S,6F2S,P04332,29695621,Geminate (twinned) capsid structure,high,seed_set_v1,PORTL_BPPH2,309,Bacillus phage phi29,2884424,10,Portal protein,reviewed
Q89437,Ageratum yellow vein virus,AYVV,Coat protein,MCP,ssDNA,Eukaryota_Plant,Geminiviridae,SJR,T=1,geminate,6F2T,6F2T,Q89437,29695621,Begomovirus,high,seed_set_v1,Q89437_HBV,183,Hepatitis B virus,10407,C,Capsid protein,unreviewed
P03639,Bacteriophage phiX174,phiX174,F protein (coat),MCP,ssDNA,Bacteria,Microviridae,SJR,T=1,icosahedral,2BPA;1CD3,2BPA,P03639,8602507,Classic ssDNA phage,high,seed_set_v1,LYS_BPPHS,91,Enterobacteria phage phiX174,1217068,E,Lysis protein E,reviewed
P03300,Poliovirus 1,PV1,VP1,MCP,ssRNA+,Eukaryota_Animal,Picornaviridae,SJR,pseudo-T=3,icosahedral,1HXS;2PLV,1HXS,P03300,2538243,"Prototype picornavirus, 3 SJR proteins per protomer",high,seed_set_v1,POLG_POL1M,2209,Poliovirus type 1 (strain Mahoney),12081,,Genome polyprotein,reviewed
